"","folio","staff_t","staff_p","base","n_orgs","p_priv","p_base","compact","truck","pickup","o_veh","a_10","a_20","large_v","p_comp","tot_veh","can_ton","bas_sep","sistema","pobtot2018","P60","hoteles","ingpc2015"
"1276","21178",3,0,0,1,0,0,0,1,0,0,NA,NA,1,0,1,1,"No","Casa",16203,0.154292414984879,0,9356.49284785436
"1277","21179",13,0,0,1,0,0,1,0,2,0,0.333333333333333,0,0.333333333333333,0.333333333333333,3,32,"No","Casa",31024,0.103597215059309,5,11318.1972964606
"1278","21180",9,0,0,1,0,0,0,2,0,0,0,1,1,0,2,21,"No","Casa",40542,0.0998224063933698,4,15077.9481676821
"1279","21181",3,0,0,1,0,0,1,0,0,0,0,1,1,1,1,3,"No","Otra",7197,0.0960122273169376,0,15784.7941585535
"1280","21182",7,0,0,1,0,0,1,0,1,0,0.5,0.5,0.5,0.5,2,6,"No","Casa",5281,0.0806665404279493,0,13680.0025862069
"1281","21184",4,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0.5,"No","Casa",6422,0.117408906882591,0,10373.0236486487
"1282","21185",1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,7,"No","Casa",9956,0.12093210124548,0,12296.4129073688
"1283","21186",24,0,0,1,0,0,5,0,0,0,0.2,0.8,1,1,5,3,"No","Casa",54759,0.113205135228912,11,15570.4042945277
"1284","21187",1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,"No","Casa",5031,0.162989465315047,0,11159.799382716
"1285","21188",5,0,0,1,0,0,0,0,1,0,0,1,0,0,1,5,"No","Cont/Casa",18860,0.121739130434783,0,9026.15010012014
"1286","21189",6,0,6,1,0,1,2,0,0,0,0,1,1,1,2,12,"No","Casa",21901,0.0957947125702023,0,15560.0543239951
"1287","21190",4,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.571,"No","Casa",1179,0.25275657336726,0,10756.037037037
"1288","21191",6,0,6,1,0,1,1,0,1,0,0,0.5,0.5,0.5,2,8,"No","Casa",9749,0.166170889321982,7,17404.095311299
"1289","21192",3,0,0,1,0,0,0,0,1,0,0,1,0,0,1,3,"Si","Casa",5935,0.162931760741365,0,13088.8126984127
"1290","21193",4,0,0,1,0,0,1,0,0,0,0,1,1,1,1,8,"No","Casa",6426,0.136632430750078,0,11775.6310052483
"1291","21194",6,0,0,1,0,0,3,0,0,0,0.666666666666667,0,1,1,3,10,"No","Casa",28290,0.127995758218452,7,17698.0329815303
"1292","21195",5,0,0,1,0,0,1,0,0,0,0,1,1,1,1,3,"No","Casa",26089,0.0977806738472153,3,8945.12053605422
"1293","21196",4,0,0,1,0,0,1,0,0,0,NA,NA,1,1,1,1,"No","Casa",1585,0.225236593059937,0,15339.6363636364
