"","folio","anyo","staff_t","base","tot_veh","can_ton","compact","truck","pickup","a_10","POBTOT","P60","hoteles","ingpc2015"
"193",8007,2016,6,0,3,3,1,2,0,0,16654,0.0986549777831152,7,17874.1123152709
"194",8008,2016,3,0,1,1.5,0,0,1,0,10674,0.0874086565486228,7,13238.432160804
"195",8009,2016,93,0,6,33.5,4,0,2,0,27738,0.10336001153652,54,23920.4902461681
"196",8011,2016,27,0,10,35,10,0,0,0.5,52137,0.12400023016284,12,27581.9706247511
"197",8013,2016,10,0,2,18,1,0,0,0,11601,0.137143349711232,3,23663.8445968005
"198",8015,2016,8,7,1,2.6,0,0,0,0,1685,0.174480712166172,0,27750.4333581534
"199",8016,2016,5,0,1,4.6,1,0,0,1,3837,0.149074798019286,0,22699.8030634573
"200",8017,2016,132,92,39,120,19,2,2,0.461538461538462,171251,0.106673829641871,34,40610.9559497736
"201",8018,2016,2,0,1,2,0,0,0,0,4430,0.181715575620767,0,24513.8956078931
"202",8019,2016,214,187,130,1140,130,0,0,1,889766,0.106334699235529,113,43007.186697701
"203",8020,2016,8,0,2,1,0,1,1,0.5,7313,0.0947627512648708,3,23028.9651716362
"204",8021,2016,56,50,19,120,17,2,0,0,150067,0.115161894353855,14,33965.227425714
"205",8022,2016,9,0,4,2,1,3,0,0,2407,0.331948483589531,0,20055.2273838631
"206",8023,2016,5,0,1,4,1,0,0,0,6047,0.0902927071275012,0,22624.3954857704
"207",8025,2016,3,0,1,7.43,1,0,0,0,8961,0.173306550608191,3,25135.6463414634
"208",8026,2016,3,0,1,1,0,1,0,0,2317,0.272334915839448,0,25024.7362126246
"209",8027,2016,72,35,9,36,4,0,4,0.222222222222222,44715,0.0843564799284356,14,19874.6515611062
"210",8028,2016,4,0,2,2.4,2,0,0,0.5,5035,0.13604766633565,0,19985.1474219317
"211",8029,2016,3,0,2,3.5,1,0,1,1,56656,0.0751376729737362,15,15120.072699735
"212",8030,2016,5,5,1,3,0,0,1,1,7115,0.112297962052003,13,25445.7291570705
"213",8031,2016,17,12,3,18,3,0,0,0,38952,0.146821729307866,12,25875.4347885589
"214",8032,2016,51,0,12,150,10,0,2,1,110000,0.114672727272727,31,31936.9450174715
"215",8034,2016,8,0,1,4,1,0,0,0,6897,0.185732927359722,0,21528.6149266426
"216",8035,2016,5,0,2,6,2,0,0,0,10978,0.11167790125706,3,83913.343862168
"217",8036,2016,19,16,4,10,4,0,0,1,43179,0.110701961601705,8,24826.4034103657
"218",8038,2016,5,0,1,3.5,1,0,0,1,4347,0.172762824936738,0,29321.7915966387
"219",8039,2016,3,0,2,4,0,1,0,0.5,4003,0.177866600049963,0,21747.0826771654
"220",8040,2016,33,0,4,30,4,0,0,0,29157,0.133518537572453,12,25009.8288495336
"221",8042,2016,4,0,1,1.14,0,0,1,1,1363,0.185619955979457,0,28139.6467439786
"222",8043,2016,3,0,1,2.85,1,0,0,1,2932,0.205661664392906,0,23387.1845210005
"223",8044,2016,4,0,1,2,0,1,0,1,4345,0.166858457997698,0,21183.1896103896
"224",8045,2016,11,0,3,35,3,0,0,1,44936,0.12760370304433,4,27335.4998782961
"225",8046,2016,2,0,1,1,0,0,1,0,7688,0.0818158168574402,0,14459.875601629
"226",8047,2016,5,0,1,2.5,0,1,0,0,5107,0.13275895829254,4,21491.3064798599
"227",8048,2016,12,12,4,14,4,0,0,0,23330,0.183111873124732,6,32993.1074014975
"228",8049,2016,3,0,1,2.85,1,0,0,0,2519,0.161969035331481,0,18412.8122518435
"229",8050,2016,41,9,11,68.493,9,0,0,1,64227,0.104722313045915,13,31651.1913706249
"230",8051,2016,22,21,3,18,2,0,1,0.333333333333333,7574,0.0821230525481912,12,30091.9072335726
"231",8052,2016,25,20,4,32,3,1,0,0.5,28387,0.108465142494804,14,39565.1129928553
"232",8053,2016,6,6,2,7.5,2,0,0,0,5623,0.136937577805442,0,20385.8674145844
"233",8054,2016,3,3,1,2,0,1,0,0,7960,0.111683417085427,0,50657.1054342778
"234",8055,2016,5,0,1,8,1,0,0,1,16918,0.13920085116444,0,24527.3684210526
"235",8057,2016,4,0,1,1,1,0,0,0,2105,0.252256532066508,0,22410.8595866001
"236",8058,2016,4,0,1,6.2,1,0,0,1,2369,0.191219924018573,11,24258.7009778693
"237",8059,2016,12,2,3,1,1,1,1,0.333333333333333,5153,0.160100912090045,0,31889.1432755675
"238",8060,2016,18,16,5,13,1,1,3,0,10780,0.143599257884972,0,29213.6161750083
"239",8061,2016,2,2,1,4,1,0,0,0,3058,0.265860039241334,0,24409.1471415183
"240",8062,2016,14,0,3,22,3,0,0,1,30970,0.131966419115273,6,30415.7075503929
"241",8064,2016,5,0,1,1.6,0,1,0,1,1663,0.195429945880938,0,18926.8291390728
"242",8066,2016,5,0,2,1,0,2,0,0,5673,0.127622069451789,0,16783.8948571429
"243",8067,2016,6,0,2,6,0,2,0,0,5218,0.222882330394787,3,24064.0185251158
"244",9002,2016,763,678,121,683,115,2,0,0.330578512396694,397251,0.177263241628089,21,44203.28589074
"245",9003,2016,1328,1282,172,1136,116,11,11,0.372093023255814,606092,0.187443490427196,22,62112.5650901979
"246",9004,2016,379,337,82,343.86,67,1,1,0.402439024390244,201791,0.097883453672364,12,99540.3428571429
"247",9005,2016,1688,1624,309,2745.58,220,51,0,0.249190938511327,1160218,0.164105366405279,54,37612.9856185859
"248",9006,2016,625,544,123,860,99,15,0,0.439024390243902,391552,0.152526356652501,21,43276.3198478818
"249",9007,2016,1913,1767,315,1242.91,205,22,0,0.323809523809524,1830284,0.127516276162606,54,32898.1053649478
"250",9009,2016,317,223,58,80,24,25,4,0.379310344827586,139396,0.0893282447129043,0,25111.9664655645
"251",9010,2016,1083,1003,229,805,116,84,11,0.331877729257642,754572,0.143364715361821,13,57266.2719031555
"252",9011,2016,557,309,64,400,59,0,1,0.578125,361859,0.104817069632094,3,29309.3168650912
"253",9012,2016,659,582,174,806.449,119,17,19,0.339080459770115,682411,0.138357969024532,27,49922.4931417374
"254",9013,2016,849,477,92,640.46,74,13,0,0.391304347826087,416118,0.118983076915683,10,33525.9724686204
"255",9014,2016,911,870,171,600.09,107,5,0,0.198830409356725,423811,0.198895262274929,65,119439.610408286
"256",9015,2016,1702,1536,256,1230,78,18,0,0.32421875,532697,0.162540806499755,461,69093.4385611733
"257",9016,2016,1195,827,226,700,181,20,25,0.535398230088496,362749,0.177238255653358,92,108024.105513106
"258",9017,2016,1530,1091,217,1310,64,65,4,0.175115207373272,426520,0.173431492075401,39,42166.4101171493
"259",10001,2016,23,14,5,9.6,3,0,2,0.6,33142,0.141482107295878,0,19045.9189202699
"260",10002,2016,4,4,1,6,0,1,0,1,4795,0.0830031282586027,3,19554.1325833668
"261",10003,2016,9,0,2,5.5,1,1,0,1,4362,0.124713434204493,0,13234.4469413233
"262",10004,2016,18,18,4,37,3,0,1,0,35765,0.119474346428072,7,19436.093955095
"263",10005,2016,238,197,42,512,35,2,3,0.904761904761905,669398,0.092881962599231,96,30865.729066725
"264",10006,2016,3,0,1,1.2,0,1,0,0,10006,0.143713771736958,3,13674.3335064935
"265",10007,2016,177,55,29,328.25,0,24,4,0.793103448275862,345146,0.0984887554831868,24,25349.1518941061
"266",10008,2016,18,15,3,35,3,0,0,1,35646,0.113729450709757,7,18998.6018729436
"267",10009,2016,8,0,1,9,1,0,0,1,9791,0.134409151261362,3,25167.7269772481
"268",10010,2016,3,0,1,1.5,0,0,0,0,3753,0.188915534239275,0,18000.1146040589
"269",10011,2016,3,0,1,1,0,0,0,0,4856,0.212726523887974,0,16792.6793760832
"270",10012,2016,118,88,24,77,7,15,2,0.583333333333333,155765,0.0953808621962572,11,23031.9763291753
"271",10013,2016,17,0,3,5,3,0,0,1,26775,0.093968253968254,13,16982.4915972986
"272",10014,2016,3,0,1,4,1,0,0,1,40466,0.0615825631394257,3,14121.9333333333
"273",10015,2016,11,0,3,8,3,0,0,1,13066,0.15482932802694,4,15142.0135269986
"274",10016,2016,19,0,4,10,4,0,0,0.25,19935,0.137296212691247,4,19515.6426962918
"275",10017,2016,24,0,2,4,1,1,0,0.5,9555,0.18974358974359,4,20751.2783306581
"276",10018,2016,13,0,2,15,2,0,0,0.5,11531,0.191397103460238,5,25143.5255712731
"277",10019,2016,4,3,1,3,1,0,0,1,5420,0.0854243542435424,4,16936.584178499
"278",10020,2016,8,0,2,8,2,0,0,1,12363,0.166868882957211,0,18641.0813722711
"279",10021,2016,8,3,3,5,2,1,0,0,11012,0.142844169996368,4,14784.4644831986
"280",10022,2016,28,27,2,18,2,0,0,0.5,25306,0.129850628309492,3,16345.9796585543
