"","clave_mun","POBTOT","P_60YMAS","pob_urb"
"2158",30065,85489,10318,49356
"2159",30066,26830,3936,6578
"2160",30067,19179,1445,15417
"2161",30068,66372,9041,44664
"2162",30069,24085,4688,13966
"2163",30070,18275,2477,4106
"2164",30071,59920,6637,33402
"2165",30072,21796,2813,6113
"2166",30073,41670,6482,12729
"2167",30074,7293,941,4270
"2168",30075,16525,3308,4654
"2169",30076,13377,1971,NA
"2170",30077,42807,5730,25608
"2171",30078,12379,2647,4169
"2172",30079,11387,1301,2692
"2173",30080,23132,2543,10017
"2174",30081,27295,2709,23396
"2175",30082,15831,1919,10432
"2176",30083,50836,9453,5708
"2177",30084,5574,1077,NA
"2178",30085,74004,8862,55910
"2179",30086,46794,4049,24113
"2180",30087,488531,71195,476589
"2181",30088,5054,912,3150
"2182",30089,38669,6395,31856
"2183",30090,11132,1727,4660
"2184",30091,28524,3967,10188
"2185",30092,39623,4715,29323
"2186",30093,16585,2205,8016
"2187",30094,38367,5816,19353
"2188",30095,15059,2841,2619
"2189",30096,1543,332,NA
"2190",30097,19123,4058,17727
"2191",30098,3299,297,NA
"2192",30099,18327,1915,13206
"2193",30100,23918,3855,6076
"2194",30101,38670,3841,21735
"2195",30102,108842,13786,85116
"2196",30103,12799,1385,5649
"2197",30104,17134,1792,8972
"2198",30105,95202,9513,70878
"2199",30106,4841,533,3667
"2200",30107,2934,282,NA
"2201",30108,144776,23296,105217
"2202",30109,65761,10290,30232
"2203",30110,12125,1100,NA
"2204",30111,16493,2296,8239
"2205",30112,22835,3083,9554
"2206",30113,4614,573,NA
"2207",30114,10130,2055,3311
"2208",30115,37314,5429,25389
"2209",30116,17027,2208,13995
"2210",30117,23773,3308,3715
"2211",30118,123182,23353,123097
"2212",30119,5651,992,5060
"2213",30120,10343,1111,10343
"2214",30121,22756,4262,4317
"2215",30122,18051,2031,10156
"2216",30123,96185,14475,56809
"2217",30124,159910,25074,65255
"2218",30125,31894,3904,14582
"2219",30126,33442,5631,12254
"2220",30127,28258,1664,4627
"2221",30128,77432,7045,61444
"2222",30129,18053,3549,11233
"2223",30130,39327,6219,16042
"2224",30131,189457,32363,185032
"2225",30132,20300,1819,9924
"2226",30133,57909,7409,52164
"2227",30134,23544,3726,6913
"2228",30135,24127,2021,20460
"2229",30136,8343,777,4837
"2230",30137,6308,552,NA
"2231",30138,41795,7242,41785
"2232",30139,6126,1241,3454
"2233",30140,3134,243,NA
"2234",30141,162428,22057,81748
"2235",30142,32631,4929,7547
"2236",30143,57085,9494,24758
"2237",30144,32400,4239,18280
"2238",30145,16574,1904,12926
"2239",30146,3925,376,NA
"2240",30147,24578,1827,4433
"2241",30148,28130,4364,13716
"2242",30149,34385,3045,20421
"2243",30150,11631,1932,5595
"2244",30151,21902,5062,4908
"2245",30152,11561,2453,2706
"2246",30153,5795,1181,NA
"2247",30154,11991,2656,NA
"2248",30155,99959,15427,33226
"2249",30156,6041,573,NA
"2250",30157,20145,3458,4716
"2251",30158,24551,4209,5432
"2252",30159,29686,1819,2740
"2253",30160,107270,16710,32972
"2254",30161,34408,6438,12494
